ACARA ID,School Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent School ID,AGE ID,Latitude,Longitude,StateProvinceID
41336,Ryde Secondary College,Ryde,NSW,2112,Secondary,Gov,Open,Major Cities,41336,47731,-33.8133,151.119,000008415
41602,Sarah Redfern High School,Minto,NSW,2566,Secondary,Gov,Open,Major Cities,41602,56314,-34.0268,150.851,000008551
42110,Scone High School,Scone,NSW,2337,Secondary,Gov,Open,Inner Regional,42110,46401,-32.0564,150.872,000008409
53055,Secondary College of Languages,Parramatta,NSW,2150,Combined,Gov,Open,Major Cities,53055,,-33.81369267,151.0081765,000008600
41576,Sefton High School,Sefton,NSW,2162,Secondary,Gov,Open,Major Cities,41576,46470,-33.8795,151.009,000008265
41810,Seven Hills High School,Seven Hills,NSW,2147,Secondary,Gov,Open,Major Cities,41810,6399,-33.7627,150.945,000008231
42934,Shoalhaven High School,Nowra,NSW,2541,Secondary,Gov,Open,Inner Regional,42934,46389,-34.8973,150.61,000008561
42096,Singleton High School,Singleton,NSW,2330,Secondary,Gov,Open,Inner Regional,42096,49322,-32.5697,151.178,000008202
41569,Sir Joseph Banks High School,Revesby,NSW,2212,Secondary,Gov,Open,Major Cities,41569,48614,-33.9397,151.021,000008250
42933,Smiths Hill High School,Wollongong,NSW,2500,Secondary,Gov,Open,Major Cities,42933,46369,-34.4189,150.896,000008542
42394,South Grafton High School,South Grafton,NSW,2460,Secondary,Gov,Open,Inner Regional,42394,46444,-29.7142,152.929,000008406
41182,South Sydney High School,Maroubra,NSW,2035,Secondary,Gov,Open,Major Cities,41182,47565,-33.9442,151.234,000008545
52670,Southern Cross School of Distance Education,East Ballina,NSW,2478,Combined,Gov,Open,Inner Regional,52670,68862,-28.8508,153.586,000004659
41825,Springwood High School,Springwood,NSW,2777,Secondary,Gov,Open,Major Cities,41825,50843,-33.6851,150.551,000008446
41842,St Clair High School,St Clair,NSW,2759,Secondary,Gov,Open,Major Cities,41842,50719,-33.7939,150.787,000008571
41148,St George Girls High School,Kogarah,NSW,2217,Secondary,Gov,Open,Major Cities,41148,48628,-33.9591,151.136,000008136
41335,St Ives High School,St Ives,NSW,2075,Secondary,Gov,Open,Major Cities,41335,47638,-33.7401,151.167,000008400
41598,St Johns Park High School,St Johns Park,NSW,2176,Secondary,Gov,Open,Major Cities,41598,46387,-33.8731,150.892,000008531
40438,St Marys Senior High School,St Marys,NSW,2760,Secondary,Gov,Open,Major Cities,40438,46426,-33.7631,150.77,000008870
41556,Strathfield Girls High School,Strathfield,NSW,2135,Secondary,Gov,Open,Major Cities,41556,46428,-33.8739,151.085,000008169
